OC_Medical_Easy_01;小肠的功能是？（单选）;1;将初步消化的食物输送至肠道;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_01;小肠的功能是？（单选）;2;通过食管的收缩，将食物推送至胃;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_01;小肠的功能是？（单选）;3;分泌消化液，以促进消化;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_01;小肠的功能是？（单选）;4;消化以及经黏膜吸收脂肪、碳水化合物和蛋白质;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_02;下列关于造口的说法正确的是？（多选）;1;皮肤表面的人造开口;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_02;下列关于造口的说法正确的是？（多选）;2;祛除疾病和／或减轻症状的外科手术结果;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_02;下列关于造口的说法正确的是？（多选）;3;对排便失去控制能力;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_02;下列关于造口的说法正确的是？（多选）;4;对排气失去控制能力;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_03;以下关于造口描述正确的有？（多选）;1;回肠造口通常与皮肤表面平齐;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_03;以下关于造口描述正确的有？（多选）;2;临时造口中常做襻式造口以便回纳;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_03;以下关于造口描述正确的有？（多选）;3;一个健康的造口摸上去应该感觉是温暖的;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_03;以下关于造口描述正确的有？（多选）;4;造口黏膜少量出血时，造口人会感觉到疼痛;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_04;如果一个造口位于腹部左侧，它最有可能是什么造口? （单选）;1;尿路造口;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_04;如果一个造口位于腹部左侧，它最有可能是什么造口? （单选）;2;回肠造口;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_04;如果一个造口位于腹部左侧，它最有可能是什么造口? （单选）;3; 结肠造口;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_05;下列哪种造口始终是永久性的?（单选）;1;结肠造口;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_05;下列哪种造口始终是永久性的?（单选）;2;回肠造口;N;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_05;下列哪种造口始终是永久性的?（单选）;3;尿路造口;Y;Qtype;OC Medical Easy;;points;
OC_Medical_Easy_06;下列哪种术式会导致永久性结肠造口？（单选）;1;直肠会阴联合切除术;Y;Qtype;OC Medical Easy;;points;
